Epoch	Train Loss	Val Loss	Train Acc	Val Acc	LR
1	0.8542	0.6575	0.6766	0.7706	0.001000000
2	0.5587	0.4547	0.8111	0.8594	0.001000000
3	0.4807	0.4422	0.8317	0.8457	0.001000000
4	0.4239	0.4042	0.8544	0.8689	0.001000000
5	0.4215	0.3914	0.8460	0.8615	0.001000000
6	0.4042	0.3933	0.8519	0.8668	0.001000000
7	0.3869	0.3410	0.8602	0.8837	0.001000000
8	0.3720	0.3519	0.8666	0.8700	0.001000000
9	0.3692	0.3879	0.8664	0.8499	0.001000000
10	0.3714	0.3327	0.8616	0.8774	0.001000000
11	0.3524	0.3169	0.8741	0.8837	0.001000000
12	0.3548	0.3230	0.8700	0.8943	0.001000000
13	0.3498	0.3144	0.8691	0.8869	0.001000000
14	0.3631	0.3816	0.8657	0.8562	0.001000000
15	0.3583	0.3235	0.8700	0.8816	0.001000000
16	0.3542	0.2999	0.8741	0.8805	0.001000000
17	0.3537	0.3320	0.8766	0.8848	0.001000000
18	0.3562	0.3401	0.8711	0.8636	0.001000000
19	0.3456	0.3071	0.8727	0.8816	0.001000000
20	0.3389	0.3416	0.8743	0.8901	0.001000000
21	0.3308	0.3074	0.8818	0.8901	0.001000000
22	0.3536	0.3214	0.8716	0.8901	0.000100000
23	0.3238	0.3141	0.8804	0.8964	0.000100000
24	0.3070	0.3089	0.8874	0.8911	0.000100000
25	0.3277	0.2805	0.8793	0.8943	0.000100000
26	0.3093	0.3062	0.8813	0.8890	0.000100000
27	0.3137	0.3066	0.8838	0.8890	0.000100000
28	0.3090	0.2816	0.8911	0.8901	0.000100000
29	0.3204	0.3223	0.8815	0.8890	0.000100000
30	0.3236	0.3015	0.8813	0.8932	0.000100000
31	0.3223	0.2889	0.8811	0.8837	0.000010000
32	0.3114	0.2815	0.8852	0.8953	0.000010000
33	0.3176	0.2874	0.8788	0.8869	0.000010000
34	0.3013	0.2507	0.8947	0.9091	0.000010000
35	0.3251	0.2665	0.8856	0.8964	0.000010000
36	0.3113	0.3197	0.8890	0.8858	0.000010000
37	0.3185	0.3194	0.8867	0.8922	0.000010000
38	0.3083	0.2812	0.8872	0.9049	0.000010000
39	0.3295	0.2983	0.8777	0.8922	0.000010000
40	0.3244	0.2964	0.8784	0.8901	0.000001000
41	0.3090	0.2892	0.8890	0.9038	0.000001000
42	0.3312	0.2970	0.8786	0.8869	0.000001000
43	0.3242	0.3048	0.8872	0.8922	0.000001000
44	0.3238	0.2914	0.8854	0.8890	0.000001000
45	0.3248	0.3055	0.8802	0.8795	0.000001000
46	0.3214	0.3208	0.8809	0.8827	0.000000100
47	0.3221	0.2618	0.8811	0.9038	0.000000100
48	0.3144	0.3192	0.8793	0.8858	0.000000100
49	0.3123	0.3107	0.8901	0.8996	0.000000100
